path,label,note
data/opis_1/delo_0033/014.jpg,typed,машинопись под копирку
data/opis_1/delo_0033/015.jpg,typed,машинопись под копирку
data/opis_1/delo_0101/236.jpg,typed,машинопись
data/opis_1/delo_0105/083.jpg,typed,машинописная таблица чисел
data/opis_1/delo_0074/105.jpg,typed,машинопись
data/opis_3/delo_0018/008.jpg,typed,бланк с машинописью
data/opis_1/delo_0071/072.jpg,typed,типографская печать
data/opis_1/delo_0033/004.jpg,hand,курсив
data/opis_1/delo_0033/005.jpg,hand,курсив
data/opis_1/delo_0033/006.jpg,hand,курсив
data/opis_1/delo_0006/092.jpg,hand,курсив с таблицей от руки
data/opis_1/delo_0034/034.jpg,hand,курсив
data/opis_1/delo_0046/113.jpg,hand,курсив выцветший
data/opis_1/delo_0035/117.jpg,hand,курсив
data/opis_1/delo_0034/041.jpg,hand,курсив с формулами
data/opis_1/delo_0047/126.jpg,hand,курсив
data/opis_1/delo_0535/020.jpg,hand,курсив
data/opis_1/delo_0054/002.jpg,hand,курсив ровный
data/opis_1/delo_0044/050.jpg,hand,курсив с чертежом
